,Arrival region,Rate of >60 delay
0,Auvergne-Rhone-Alpes,0.016917472014423892
1,Bourgogne-Franche-Comte,0.010879145091990746
2,Bretagne,0.014070803083601527
3,Centre-Val de Loire,0.0068729998496531285
4,Grand-Est,0.011766456915584146
5,Hauts-de-France,0.016029067583576525
6,Ile-de-France,0.01743829024296064
7,International,0.02099522835719155
8,Nouvelle-Aquitaine,0.01079834132948386
9,Occitanie,0.025993325050549344
10,PACA,0.024325393232728018
11,Pays de la Loire,0.012335935883781693
