,Arrival station,Avg delay of all trains on arrival
0,Aix-en-Provence TGV,5.673816819765629
1,Angers Saint-Laud,4.399632911308435
2,Angouleme,4.798476587285988
3,Annecy,7.66142117984414
4,Arras,3.772379379121313
5,Avignon TGV,5.233083559378555
6,Barcelona,8.390384280569476
7,Bellegarde-Sur-Valserine,7.042783043445083
8,Besancon Franche-Comte TGV,4.313933838500643
9,Bordeaux Saint-Jean,5.1138498877562535
10,Brest,4.889755412804521
11,Chambery - Challes-les-Eaux,6.727213394911287
12,Dijon,3.202724386486179
13,Douai,3.990589750182934
14,Dunkerque,3.667175770344415
15,Francfort,9.152121388698145
16,Geneve,6.258038843571315
17,Grenoble,5.98169137530496
18,La Rochelle,4.037604102074778
19,Lausanne,6.053868714550343
20,Laval,3.8812158524258473
21,Le Creusot - Montceau-les-Mines - Montchanin TGV,2.658231437340809
22,Le Mans,3.0171603027335197
23,Lille Europe,8.056226972824186
24,Lyon Part Dieu,6.16065883196468
25,Macon Loche TGV,4.330555843087684
26,Madrid,3.5078455022761905
27,Marne-la-Vallee Chessy,8.461457159606457
28,Marseille Saint-Charles,8.4506082328105
29,Metz,3.0845068799545876
30,Milan,7.805582938390031
31,Montpellier Saint-Roch,6.496538167213053
32,Mulhouse,4.9894199487135245
33,Nancy,3.1091164676256646
34,Nantes,5.888247275726488
35,Nice,7.842662763020653
36,Nimes,6.550816707605059
37,Paris Est,5.608290949266187
38,Paris Gare De Lyon,6.568518183684171
39,Paris Gare Du Nord,4.434482217855399
40,Paris Montparnasse,5.537205545115797
41,Paris Vaugirard,6.1929180922222224
42,Perpignan,7.961041739979514
43,Poitiers,3.6618989666633786
44,Quimper,5.18058691502717
45,Reims,2.900772108709207
46,Rennes,6.166910266723027
47,Saint-Etienne Chateaucreux,5.215051859192542
48,Saint-Malo,3.6247005009298285
49,Saint-Pierre-Des-Corps,3.2376703709059407
50,Strasbourg,5.319384524289107
51,Stuttgart,8.178045592014172
52,Toulon,7.284111625206226
53,Toulouse Matabiau,7.33901108403498
54,Tourcoing,8.878784758358263
55,Tours,3.2945376681698453
56,Valence TGV Rhone-Alpes Sud,5.231793415724546
57,Vannes,5.840878316018397
58,Zurich,7.870675114916241
