,Departure station,Avg delay of all trains on departure
0,Aix-en-Provence TGV,4.511001153538668
1,Angers Saint-Laud,3.6676353147990923
2,Angouleme,4.199034185406266
3,Annecy,1.5902060627408239
4,Arras,3.7725993480868714
5,Avignon TGV,4.041577146989017
6,Barcelona,2.006784327584116
7,Bellegarde-Sur-Valserine,2.985841560240465
8,Besancon Franche-Comte TGV,1.7846928830071
9,Bordeaux Saint-Jean,3.418067641770121
10,Brest,3.1876063990892516
11,Chambery - Challes-les-Eaux,7.241806881127308
12,Dijon,3.992250384845197
13,Douai,6.494469465525846
14,Dunkerque,0.5593719066358016
15,Francfort,3.236151713241117
16,Geneve,2.6866374179689374
17,Grenoble,4.887579615675161
18,La Rochelle,0.968699251326779
19,Lausanne,2.868663146177828
20,Laval,3.0256989388538575
21,Le Creusot - Montceau-les-Mines - Montchanin TGV,4.06625133913145
22,Le Mans,4.266893530214103
23,Lille Europe,2.791057389897729
24,Lyon Part Dieu,5.97217224534989
25,Macon Loche TGV,8.760830782799717
26,Madrid,1.5525247534171793
27,Marne-la-Vallee Chessy,6.275658053992879
28,Marseille Saint-Charles,2.656708568766137
29,Metz,3.2661920168504297
30,Milan,9.720427376841638
31,Montpellier Saint-Roch,4.291071330438867
32,Mulhouse,2.8073208507167924
33,Nancy,2.0776825735701334
34,Nantes,3.8011827252159107
35,Nice,1.8463561254404721
36,Nimes,5.713297221911052
37,Paris Est,2.3354416962224316
38,Paris Gare De Lyon,2.1492430543886534
39,Paris Gare Du Nord,2.8734756850390553
40,Paris Montparnasse,1.974933593020253
41,Paris Vaugirard,2.479335744327337
42,Perpignan,3.227614701607813
43,Poitiers,3.9633364610628985
44,Quimper,6.101863974893073
45,Reims,1.5243269121064211
46,Rennes,4.264846070321928
47,Saint-Etienne Chateaucreux,6.283050326485687
48,Saint-Malo,0.9627823889017298
49,Saint-Pierre-Des-Corps,3.0725918150964864
50,Strasbourg,3.133841810428705
51,Stuttgart,4.932788897872702
52,Toulon,4.287658085994851
53,Toulouse Matabiau,2.7153147265469895
54,Tourcoing,2.1054705833753724
55,Tours,0.7740426988235279
56,Valence TGV Rhone-Alpes Sud,7.244381421610719
57,Vannes,3.23046990828882
58,Zurich,1.708035377690426
