,Station name,UIC code,Total travelers 2023,Total travelers 2022,Total travelers 2021,Total travelers 2020,Total travelers 2019,Total travelers 2018,Total travelers 2017,Total travelers 2016,Total travelers 2015
0,Abancourt,87313759,77974,71517,51811,32396,42685,40228,43760,41096,39720
1,Agde,87781278,757491,689202,561160,394380,542288,588297,697091,660656,662516
2,Agen,87586008,1640325,1540511,1184007,860964,1211323,1109199,1194455,1141620,1183150
3,Agonac,87595157,9537,6468,4119,3271,2538,1492,1583,1134,1127
4,Aguilcourt - Variscourt,87171702,13464,13197,12294,10436,8796,6155,7368,8979,9821
5,Aigrefeuille le Thou,87485193,61127,51200,32989,24987,31170,18670,14513,266,0
6,Aiguillon,87586693,152744,133450,106764,89616,109094,92690,96909,90187,92826
7,Ailly-sur-Somme,87313098,158414,133695,112866,105120,134750,126145,130664,123926,130027
8,Aix-en-Provence,87751404,776483,603811,276414,189752,542347,769147,1106279,998093,1011615
9,Aix-en-Provence TGV,87319012,3697010,3739796,2916645,2059068,3594151,3597729,3699076,3403078,3388402
10,Albias,87613398,30476,26119,19376,11378,11386,8780,11579,9415,10586
11,Alet-les-Bains,87615187,76,266,118,115,121,96,103,94,95
12,Alleyras,87731885,2059,1931,1447,949,1310,1013,812,598,510
13,Amagne - Lucquy,87172262,87838,69618,48289,38365,52065,48163,47918,37854,40539
14,Ambazac,87592311,44786,35478,28521,25184,27893,25961,30597,31750,34127
15,Amboise,87574343,834653,784419,528945,380263,589710,556255,560417,513690,518284
16,Ambérieu-en-Bugey,87743716,1404224,1334530,1043483,838327,1254920,1168627,1223516,1188233,1195489
17,Amifontaine,87171744,17239,15468,14165,13302,14722,15470,15485,12624,11071
18,Amplepuis,87721035,329325,314879,245200,206265,317136,276412,317836,298064,289331
19,Anché - Voulon,87575332,18386,15283,10031,7457,9770,8847,9727,11143,13583
20,Andelot-en-Montagne,87715102,31549,25960,9982,4698,5782,4050,6806,9288,9918
21,Angoulins sur Mer,87485102,16334,14777,10878,7140,11349,9187,16213,15996,14955
22,Angoulême,87583005,2218965,2198301,1516910,1111740,1826364,1712440,1835079,1688713,1717696
23,Annecy,87746008,3000715,2817701,2127405,1562888,2334077,2209179,2390892,2216925,2235873
24,Antibes,87757674,3153616,2593610,1865911,1369074,2440877,2105087,2220716,1953102,2016198
25,Anvin,87317255,11319,7494,3630,412,811,2643,12147,18542,19182
26,Arbois,87718155,79029,81446,66112,52302,52202,44352,50131,42298,50090
27,Arengosse,87671479,4233,4371,4360,3870,4562,5591,5917,4859,4315
28,Argenton-sur-Creuse,87597120,206897,199166,145226,118590,153723,128952,134473,126215,136447
29,Armentières,87286146,970659,850773,671188,613551,793833,761726,826628,816834,811472
30,Arnèke,87281121,128509,122187,96189,87107,127818,120466,126380,124209,117986
31,Arpajon,87545467,1516858,1425412,1295988,812586,1725668,1714853,1714359,1677901,1635441
32,Ascq,87286864,22382,17383,12672,9877,16603,18741,17590,14407,14630
33,Aubiat,87734111,8171,7790,5672,5053,8809,7945,6420,4849,4419
34,Aubiet,87611764,14078,12763,10844,7529,10418,7586,9714,7969,8221
35,Aubigné-Racan,87396572,16583,15606,13479,8620,13396,13647,15823,19307,18342
36,Auch,87611749,314646,261165,194599,151588,225670,191987,239210,217086,232730
37,Audrieu,87444059,25120,20670,14265,10779,15635,14323,16234,16471,16984
38,Audun-le-Roman,87194357,7728,5238,5934,4600,6265,4803,6641,7155,10122
39,Auterive,87611384,389928,356140,301569,258534,343578,316911,396360,394346,410463
40,Avesnes-sur-Helpe,87295733,146849,142784,120372,111552,170792,153358,165722,160636,181071
41,Avignon Centre,87765008,2982128,2775924,2067055,1279138,2301960,2158528,2575499,2341921,2309025
42,Avignon TGV,87318964,4179142,4160030,3124201,2154016,4094962,3685875,3899905,3836804,3865578
43,Aéroport Charles de Gaulle 2 TGV,87271494,15394518,12949183,6281244,5011999,15227840,14907773,14649835,13534634,12976556
44,Bains-les-Bains,87144147,5336,3181,1788,1965,2801,2384,3047,3918,4001
45,Ballancourt-sur-Essonne,87681437,426642,400923,437411,261589,485406,498440,515230,521401,525543
46,Bandol,87755223,368416,350366,289858,220175,324916,304322,340862,315616,306604
47,Barenton-Bugny,87297291,11265,11089,9498,6211,6141,8608,11174,10665,9537
48,Bas - Monistrol-sur-Loire,87726778,106723,106606,72874,55120,102476,82163,65736,91221,98801
49,Bas Évette,87184200,11577,11503,6392,3614,6821,5387,6267,5992,6166
50,Base Aérienne,87699223,2714,2079,659,95,0,0,0,0,0
51,Bassens,87581850,66764,60486,38136,23363,39149,24017,18450,13262,16097
52,Beau Marais,87317610,3364,5302,5232,3180,2990,2191,3080,1828,1292
53,Beaulieu-sur-Mer,87756379,620108,525707,396883,329716,580072,501699,541376,461285,452775
54,Beautiran,87582700,379553,345518,252152,189370,275136,235945,220784,202064,178820
55,Beillant,87491076,347,112,27,55,89,11,200,205,396
56,Bellac,87592485,35242,33299,24849,16307,26216,23075,34347,36090,32527
57,Belle-Isle - Bégard,87473165,3544,2405,2760,2286,1711,1700,2129,2125,3489
58,Bena Fanes,87784892,65,86,46,23,78,33,4,10,2
59,Bergues,87281105,180746,164790,127268,125757,202757,178905,181696,170474,179040
60,Bernay,87444299,616334,544544,401880,336799,477308,447200,484156,465550,484258
61,Bessancourt,87276642,800955,796219,693514,340303,737892,707523,700747,668488,635190
62,Beuvry lès Béthune,87342402,13296,12518,10410,7478,16102,12855,13702,12758,14810
63,Beynost,87723544,267635,244377,176189,137011,213302,198025,202058,185736,181868
