,Station name,Total travelers 2023,Total travelers 2022,Total travelers 2021,Total travelers 2020,Total travelers 2019,Total travelers 2018
9,AIX-EN-PROVENCE TGV,3697010,3739796,2916645,2059068,3594151,3597729
22,ANGOULÊME,2218965,2198301,1516910,1111740,1826364,1712440
23,ANNECY,3000715,2817701,2127405,1562888,2334077,2209179
42,AVIGNON TGV,4179142,4160030,3124201,2154016,4094962,3685875
175,DOUAI,3221478,2964246,2312445,1960495,3049203,2823221
392,NÎMES,4575772,4316299,3376038,2369197,3585941,3669749
406,PERPIGNAN,2058369,1809687,1496637,1050546,1390185,1370425
484,SAINT-PIERRE-DES-CORPS,4252582,3784800,2918332,2121656,3710116,3457033
531,ANGERS SAINT-LAUD,6781537,6269502,4662966,3433325,5739760,5372470
549,ARRAS,4454183,3920113,2979908,2622169,4297088,4060559
562,TOULOUSE MATABIAU,14526190,12869088,10248180,7616091,9892175,8712234
691,CHAMBÉRY - CHALLES-LES-EAUX,4738346,4316253,3195946,2466954,3701807,3447007
863,LE MANS,5302246,5048028,3813805,2781897,4945609,4916622
909,MARNE-LA-VALLÉE CHESSY,4319252,4641120,3312209,2492919,5432886,5996489
913,MARSEILLE SAINT-CHARLES,17101341,16906447,13225716,9569704,14629257,13681361
963,MÂCON LOCHÉ TGV,465175,440823,340147,241155,468049,431203
1012,POITIERS,3718607,3463640,2681891,1897571,3217576,3010346
1041,REIMS,4970676,4309354,3131748,2551210,3820119,3643133
1043,RENNES,15169003,13921836,9619265,7431788,11588429,10418643
1252,BELLEGARDE-SUR-VALSERINE,1723382,1500251,1123969,775242,1305663,1151476
1269,BORDEAUX SAINT-JEAN,22612374,21353889,16454662,11184093,17675655,16080989
1275,BREST,2572723,2370384,1760542,1305129,1962604,1722004
1478,LAVAL,1585924,1476306,1117818,830231,1381878,1340455
1574,NANCY,9228582,8320214,6402271,5160489,8098462,7582349
1596,PARIS EST,39877017,36774394,27758686,21580625,41240098,39301206
1597,PARIS GARE DE LYON,110498896,102024783,84120158,55824824,112644337,111226947
1678,SAINT-ÉTIENNE CHÂTEAUCREUX,3966356,3685091,2678707,1776534,3728728,3387131
1714,TOURCOING,710223,609158,534310,425537,610714,731606
1716,TOURS,6506313,6248554,4377052,3152214,4962177,4690784
1725,VALENCE TGV RHÔNE-ALPES SUD,3550552,3022392,2187316,1550358,2597471,2620451
1818,BESANÇON FRANCHE-COMTÉ TGV,739282,618834,501306,349723,657453,641643
1909,DUNKERQUE,2042446,1905250,1414394,1241973,1931759,1663300
1942,GRENOBLE,8121338,7993812,6150709,4781532,7796571,7057612
1999,LA ROCHELLE,2925287,2692269,2059413,1490951,2235983,1984267
2073,LYON PART DIEU,40088689,36558465,26187679,19541666,32587523,32555240
2095,METZ,9407728,8302189,5959695,4687126,7600267,7035904
2107,MONTPELLIER SAINT-ROCH,8061640,7646291,5850564,4220874,6393777,7123630
2118,MULHOUSE,5637668,5056324,4074689,3408899,5320370,5055333
2124,NANTES,17082588,15512154,11031867,8047221,12961997,11811037
2152,PARIS GARE DU NORD,226768485,211698470,126621006,92233317,244744368,244465576
2153,PARIS MONTPARNASSE,64471254,56862435,41039816,32447396,61374056,59174533
2304,TOULON,4733117,4439452,3667722,2524370,3668509,3534118
2523,DIJON,7653382,7081622,4861793,4149069,6350035,5798071
2662,LE CREUSOT - MONTCEAU-LES-MINES - MONTCHANIN TGV,689875,653544,500230,393139,691000,688741
2696,LILLE EUROPE,6721133,6056899,4337868,3303176,7754675,7696028
2784,NICE,11229438,9397550,6631770,5221606,9517119,8415150
2831,QUIMPER,1619395,1483787,1076265,745934,1058048,951271
2894,SAINT-MALO,1703866,1638571,1202705,889726,1263626,1135793
2932,STRASBOURG,23907864,21446966,16328098,13049946,21465169,20170472
2963,VANNES,2170614,2019329,1512731,1088186,1599913,1412592
